,beds_genandacute_noncovid,ventbeds_noncovid,address,Date,Local Health Board,coordinates,lat,lon
965,707,11,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",05-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
966,674,14,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",06-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
967,703,11,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",07-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
968,775,12,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",08-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
969,767,13,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",09-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
970,741,11,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",10-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
971,763,13,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",11-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
972,740,9,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",12-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
973,741,13,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",13-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
974,736,12,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",14-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
975,832,10,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",15-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
976,838,13,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",16-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
977,845,12,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",17-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
978,862,11,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",18-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
979,849,12,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",19-Jun-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
